420;仰;6;"Hito, Ninben, Hitoyane";ギョウ、[コウ]、あお-ぐ、おお-せ
421;暁;12;"Nichi, Nichihen";ギョウ、あかつき
422;業;13;"Ki, Kihen";ギョウ、ゴウ、わざ
423;凝;16;Nisui;ギョウ、こ-る、こ-らす
424;曲;6;Hirabi;キョク、ま-がる、ま-げる
425;局;7;Shikabane;キョク
426;極;12;"Ki, Kihen";キョク、ゴク、きわ-める、きわ-まる、きわ-み
427;玉;5;"Tama, Oo";ギョク、たま
428;巾;3;"Haba, Kinben";キン
429;斤;4;"Kin, Onozukuri";キン
430;均;7;"Tsuchi, Tsuchihen";キン
431;近;7;Shinnyoo;キン、ちか-い
432;金;8;"Kane, Kanehen";キン、コン、かね、[かな]
433;菌;11;Kusakanmuri;キン
434;勤;12;Chikara;キン、[ゴン]、つと-める、つと-まる
435;琴;12;"Tama, Oo";キン、こと
436;筋;12;"Take, Takekanmuri";キン、すじ
437;僅;13;"Hito, Ninben, Hitoyane";キン、わず-か
438;禁;13;"Shimesu, Shimesuhen";キン
439;緊;15;"Ito, Itohen";キン
440;錦;16;"Kane, Kanehen";キン、にしき
441;謹;17;"Gon, Gonben";キン、つつし-む
442;襟;18;"Koromo, Koromohen";キン、えり
443;吟;7;"Kuchi, Kuchihen";ギン
444;銀;14;"Kane, Kanehen";ギン
445;区;4;Kakushigamae;ク
446;句;5;"Kuchi, Kuchihen";ク
447;苦;8;Kusakanmuri;ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る
448;駆;14;"Uma, Umahen";ク、か-ける、か-る
449;具;8;Hachi;グ
450;惧;11;"Kokoro, Risshinben, Shitagokoro";グ
451;愚;13;"Kokoro, Risshinben, Shitagokoro";グ、おろ-か
452;空;8;"Ana, Anakanmuri";クウ、そら、あ-く、あ-ける、から
453;偶;11;"Hito, Ninben, Hitoyane";グウ
454;遇;12;Shinnyoo;グウ
455;隅;12;Kozatohen;グウ、すみ
456;串;7;"Bou, Tatebou";くし
457;屈;8;Shikabane;クツ
458;掘;11;Tehen;クツ、ほ-る
459;窟;13;"Ana, Anakanmuri";クツ
460;熊;14;"Hi, Hihen, Renga";くま
461;繰;19;"Ito, Itohen";く-る
462;君;7;"Kuchi, Kuchihen";クン、きみ
463;訓;10;"Gon, Gonben";クン
464;勲;15;Chikara;クン
465;薫;16;Kusakanmuri;クン、かお-る
466;軍;9;"Kuruma, Kurumahen";グン
467;郡;10;Oozato;グン
468;群;13;Hitsuji;グン、む-れる、む-れ、[むら]
469;兄;5;Hitoashi;ケイ、[キョウ]、あに
470;刑;6;"Katana, Rittoo";ケイ
471;形;7;Sanzukuri;ケイ、ギョウ、かた、かたち
472;系;7;"Ito, Itohen";ケイ
473;径;8;Gyooninben;ケイ
474;茎;8;Kusakanmuri;ケイ、くき
475;係;9;"Hito, Ninben, Hitoyane";ケイ、かか-る、かかり
476;型;9;"Tsuchi, Tsuchihen";ケイ、かた
477;契;9;Dai;ケイ、ちぎ-る
478;計;9;"Gon, Gonben";ケイ、はか-る、はか-らう
479;恵;10;"Kokoro, Risshinben, Shitagokoro";ケイ、エ、めぐ-む
480;啓;11;"Kuchi, Kuchihen";ケイ
481;掲;11;Tehen;ケイ、かか-げる
482;渓;11;"Mizu, Sanzui, Shitamizu";ケイ
483;経;11;"Ito, Itohen";ケイ、キョウ、へ-る
484;蛍;11;"Mushi, Mushihen";ケイ、ほたる
485;敬;12;Nobun;ケイ、うやま-う
486;景;12;"Nichi, Nichihen";ケイ
